Name;Lat;Lon;Url
DZA_AD_Miliana.604300_TMYx.2004-2018.zip;36.30;2.23;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AD_Ain_Defla/DZA_AD_Miliana.604300_TMYx.2004-2018.zip
CAN_BC_Whistler-Nesters-Spruce.Grove.Park.711750_TMYx.zip;45.92;-60.65;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler-Nesters-Spruce.Grove.Park.711750_TMYx.zip
DZA_AD_Miliana.604300_TMYx.2007-2021.zip;36.30;2.23;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AD_Ain_Defla/DZA_AD_Miliana.604300_TMYx.2007-2021.zip
CAN_BC_Fort.Nelson.AP.719450_CWEC2020.zip;58.84;-122.6;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.Nelson.AP.719450_CWEC2020.zip
DZA_AD_Miliana.604300_TMYx.zip;36.30;2.23;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AD_Ain_Defla/DZA_AD_Miliana.604300_TMYx.zip
CAN_BC_Princeton.Rgnl.AP.710320_TMYx.2007-2021.zip;49.47;-120.51;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Princeton.Rgnl.AP.710320_TMYx.2007-2021.zip
DZA_AL_Algiers.Intl.AP.603900_TMYx.2004-2018.zip;36.69;3.22;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Intl.AP.603900_TMYx.2004-2018.zip
CAN_BC_Whistler-Nesters.716870_CWEC2016.zip;50.13;-122.95;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler-Nesters.716870_CWEC2016.zip
DZA_AL_Algiers.Port.603690_TMYx.2004-2018.zip;36.79;3.07;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Port.603690_TMYx.2004-2018.zip
CAN_BC_Fort.St.James.719330_TMYx.2007-2021.zip;54.46;-124.29;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.James.719330_TMYx.2007-2021.zip
DZA_AL_Bordj.El.Bahri.603760_TMYx.2007-2021.zip;36.78;3.25;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Bordj.El.Bahri.603760_TMYx.2007-2021.zip
DZA_AL_Algiers.Intl.AP.603900_TMYx.2007-2021.zip;36.69;3.22;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Intl.AP.603900_TMYx.2007-2021.zip
CAN_BC_Princeton.Rgnl.AP.710320_TMYx.zip;49.47;-120.51;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Princeton.Rgnl.AP.710320_TMYx.zip
DZA_AL_Algiers.Port.603690_TMYx.2007-2021.zip;36.79;3.07;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Port.603690_TMYx.2007-2021.zip
CAN_BC_Whistler-Nesters.716870_CWEC2020v2.zip;50.13;-122.95;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler-Nesters.716870_CWEC2020v2.zip
DZA_AL_Bordj.El.Bahri.603760_TMYx.zip;36.78;3.25;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Bordj.El.Bahri.603760_TMYx.zip
CAN_BC_Fort.St.James.719330_TMYx.zip;54.46;-124.29;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.James.719330_TMYx.zip
DZA_AL_Algiers.Intl.AP.603900_TMYx.zip;36.69;3.22;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Intl.AP.603900_TMYx.zip
